Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translated by,Translation reviewed by,Translation,Related_terms,Reference(s),Drafted by,Originally Drafted by
Statistical Assumptions (Statistische Vorannahmen) *,"** Analytical approaches and models assume certain characteristics of one’s data (e.g., statistical independence, random samples, normality, equal variance,...). Before running an analysis, these assumptions should be checked since their violation can change the results and conclusion of a study. Good practice in open and reproducible science is to report assumption testing in terms of the assumptions verified and the results of such checks or corrections applied.",** Garson (2012); Hahn and Meeker (1993); Hoekstra et al. (2012); Nimon (2012),** Graham Reid,** Jamie P. Cockcroft; Sam Parsons; Martin Vasilev; Julia Wolska,"** Bettina M.J. Kern **** Helena Hartmann, Susanne Vogel; Joris Frese",NA,"Analytische Ansätze und Modelle gehen davon aus, dass die Daten, auf die sie angewendet werden, bestimmte Eigenschaften aufweisen (beispielsweise statistische Unabhängigkeit, Ziehung einer Zufallsstichprobe, Normalverteilung, Varianzhomogenität, …). Vor der Datenanalyse sollten diese Annahmen überprüft werden, da es die Ergebnisse und die Schlussfolgerung der Analyse ändern kann, wenn die Annahmen nicht erfüllt sind. Im Rahmen von offener, reproduzierbarer Forschung gehört es zur guten Praxis, das Testen der Annahmen zu dokumentieren und zu berichten, welche Annahmen geprüft wurden, durch welche Tests sie geprüft wurden, was die Ergebnisse waren und welche Maßnahmen oder Korrekturen durchgeführt wurden.",** Null Hypothesis Significance Testing (NHST); Statistical Significance; Statistical Validity; Transparency; Type I error; Type II error; Type M error; Type S error,NA,NA,NA
Statistical power (Statistische Teststärke) *,"** Statistical power is the long-run probability that a statistical test correctly rejects the null hypothesis if the alternative hypothesis is true. It ranges from 0 to 1, but is often expressed as a percentage. Power can be estimated using the significance criterion (alpha), effect size, and sample size used for a specific analysis technique. There are two main applications of statistical power. A priori power where the researcher asks the question “given an effect size, how many participants would I need for X% power?”. Sensitivity power asks the question “given a known sample size, what effect size could I detect with X% power?”.",NA,NA,** James E. Bartlett; Jamie P. Cockcroft; Adrien Fillon; Emma Henderson; Tamara Kalandadze; William Ngiam; Catia M. Oliveira; Charlotte R. Pennington; Graham Reid; Martin Vasilev; Qinyu Xiao; Flávio Azevedo,** Bettina M. J. Kern,"** Helena Hartmann, Susanne Vogel; Joris Frese","Die Teststärke (power), manchmal auch als statistische Aussagekraft bezeichnet, ist die langfristige Wahrscheinlichkeit, dass die Alternativhypothese zutrifft und ein statistischer Test korrekterweise die Nullhypothese verwirft. Die Teststärke geht von 0 bis 1, wird häufig aber als Prozentzahl ausgedrückt. Berechnet wird sie aus dem gewählten Signifikanzniveau, der Effektstärke und der Stichprobengröße in Abhängigkeit der jeweiligen Analysemethode. Es gibt zwei Hauptanwendungsgebiete: Bei der a-priori Teststärke geht es um die Frage, wie groß die Stichprobe sein muss, damit ein Effekt mit X-prozentiger langfristiger Wahrscheinlichkeit auch tatsächlich entdeckt wird. Die Sensitivitäts-Teststärke  dreht sich um die Frage, welche Effektgröße man finden kann, wenn eine bestimmte Stichprobengröße gegeben ist.",** Effect Size; Meta-analysis; Null Hypothesis Significance Testing (NHST); Power Analysis; Positive Predictive Value; Quantitative research; Sample size; Significance criterion (alpha); Type I error; Type II error **Related terms to alternative definition:** Type II Error,** Carter et al. (2021); Cohen (1962); Cohen (1988); Dienes (2008); Giner-Sorolla et al. (2019); Ioannidis (2005); Lakens (2021a),** Thomas Rhys Evans,NA
Statistical significance (Statistische Signifikanz) *,"** A property of a result using Null Hypothesis Significance Testing (NHST) that, given a significance level, is deemed unlikely to have occurred given the null hypothesis. Tenny and Abdelgawad (2017) defined it as “a measure of the probability of obtaining your data or more extreme data assuming the null hypothesis is true, compared to a pre-selected acceptable level of uncertainty regarding the true answer” (p. 1). Conventions for determining the threshold vary between applications and disciplines but ultimately depend on the considerations of the researcher about an appropriate error margin. The American Statistical Association’s statement (Wasserstein & Lazar, 2016\) notes that “Researchers often wish to turn a p-value into a statement about the truth of a null hypothesis, or about the probability that random chance produced the observed data. The p-value is neither. It is a statement about data in relation to a specified hypothetical explanation, and is not a statement about the explanation itself” (p. 131).",NA,NA,** James E. Bartlett; Alexander Hart**;** Annalise A. LaPlume; Charlotte R. Pennington; Graham Reid; Timo Roettger; Suzanne L. K. Stewart,Susanne Vogel,Helena Hartmann; Joris Frese,"Eine Eigenschaft eines Ergebnisses unter Verwendung von Nullhypothesen-Signifikanztestung (Null Hypothesis Significance Testing, NHST), das gegeben eines Signifikanzniveaus als unwahrscheinlich angesehen wird wenn die Nullhypothese gilt. Tenny und Abdelgawad (2017) definierten sie als ""a measure of the probability of obtaining your data or more extreme data assuming the null hypothesis is true, compared to a pre-selected acceptable level of uncertainty regarding the true answer” (dt. ein Maß für die Wahrscheinlichkeit, die vorliegenden Daten oder extremere Daten zu erhalten, unter der Annahme, dass die Nullhypothese wahr ist, im Vergleich zu einem im Voraus gewählten akzeptierbaren Unsicherheitsgrad hinsichtlich der wahren Antwort"" (S. 1). Die Konventionen zur Bestimmung des Schwellenwerts variieren je nach Anwendung und Disziplin, hängen aber letztlich von den Überlegungen der Forschenden über eine angemessene Fehlerquote ab. In der Erklärung der American Statistical Association (Wasserstein & Lazar, 2016\) heißt es: ""Researchers often wish to turn a *p*\-value into a statement about the truth of a null hypothesis, or about the probability that random chance produced the observed data. The *p*\-value is neither. It is a statement about data in relation to a specified hypothetical explanation, and is not a statement about the explanation itself” (dt. Forschende wollen einen *p*\-Wert oft in eine Aussage über die Wahrheit einer Nullhypothese oder über die Wahrscheinlichkeit verwandeln, dass die beobachteten Daten durch Zufall entstanden sind. Der *p*\-Wert ist weder das eine noch das andere. Er ist eine Aussage über die Daten in Bezug auf eine bestimmte hypothetische Erklärung und ist keine Aussage über die Erklärung selbst"" (S. 131).",** Alpha error; Frequentist statistics; Null hypothesis; Null Hypothesis Significance Testing (NHST); *P*\-value; Type I error **Incorrect definition:** Statistical significance describes the likelihood of the observed result against chance (regardless of the null hypotheses),** Cassidy et al. (2019); Tenny and Abdelgawad (2021); Wasserstein and Lazar (2016),** Alaa AlDoh; Flávio Azevedo,NA
Statistical validity (Statistische Validität) *,"** The extent to which conclusions from a statistical test are accurate and reflective of the true effect found in nature. In other words, whether or not a relationship exists between two variables and can be accurately detected with the conducted analyses. Threats to statistical validity include low power, violation of assumptions, reliability of measures, etc, affecting the reliability and generality of the conclusions.",NA,NA,"** Jamie P. Cockcroft, Zoltan Kekecs; Graham Reid",Helena Hartmann,Susanne Vogel; Joris Frese,"Das Ausmaß, in dem die Schlussfolgerungen aus einem statistischen Test akkurat sind und den in der Natur vorkommenden wahren Effekt widerspiegeln. Mit anderen Worten, ob ein Zusammenhang zwischen zwei Variablen besteht und mit den durchgeführten Analysen genau festgestellt werden kann. Zu den Gefahren für die statistische Validität gehören eine geringe Power (Teststärke), die Verletzung von Annahmen, die Zuverlässigkeit von Messungen usw., die die Zuverlässigkeit und Allgemeinheit der Schlussfolgerungen beeinträchtigen.",** Power; Validity; Statistical assumptions,** Cook and Campbell (1979); Drost (2011),** Annalise A. LaPlume,NA
STRANGE *,"** The STRANGE “framework” is a proposal and series of questions to help animal behaviour researchers consider sampling biases when planning, performing and interpreting research with animals. STRANGE is an acronym highlighting several possible sources of sampling bias in animal research, such as the animals’ Social background; Trappability and self-selection; Rearing history; Acclimation and habituation; Natural changes in responsiveness; Genetic make-up, and Experience.",NA,NA,** Ben Farrar; Zoe Flack; Elias Garcia-Pelegrin; Charlotte R. Pennington; Graham Reid,Helena Hartmann,Susanne Vogel; Joris Frese  ### ---,"Das STRANGE ""Framework"" ist ein Vorschlag und eine Reihe von Fragen, die Tierverhaltensforschenden helfen sollen, Stichprobenverzerrungen bei der Planung, Durchführung und Interpretation von Forschungsarbeiten mit Tieren zu berücksichtigen. STRANGE ist ein Akronym, das verschiedene mögliche Quellen für Stichprobenverzerrungen in der Tierforschung hervorhebt, wie z. B. den Sozialen Hintergrund der Tiere, die Einfangbarkeit (Trappability) und Selbstselektion, die Aufzuchtgeschichte (Rearing), die Akklimatisierung und Gewöhnung, Natürliche Veränderungen der Reaktionsfähigkeit, die Genetische Ausstattung und die Erfahrung.",** Bias; Constraints on Generality (COG); Populations; Sampling bias; WEIRD,** Webster and Rutz (2020),** Mahmoud Elsherif,NA
StudySwap *,** A free online platform through which researchers post brief descriptions of research projects or resources that are available for use (“haves”) or that they require and another researcher may have (“needs”). StudySwap is a crowdsourcing approach to research which can ensure that fewer research resources go unused and more researchers have access to the resources they need.,** Chartier et al. (2018); [https://osf.io/view/StudySwap](https://osf.io/view/StudySwap),** Charlotte R. Pennington,** Mahmoud Elsherif; Helena Hartmann; Emma Henderson; Graham Reid,Helena Hartmann,Susanne Vogel; Joris Frese,"Eine kostenlose Online-Plattform, auf der Forschende kurze Beschreibungen von Forschungsprojekten oder Ressourcen einstellen, die sie zur Nutzung freigeben können (""haves"") oder die sie benötigen und die ein/e andere/r Forschende/r haben könnte (""needs""). StudySwap ist ein Crowdsourcing-Ansatz für die Forschung, der dafür sorgen kann, dass weniger Forschungsressourcen ungenutzt bleiben und mehr Forschende Zugang zu den Ressourcen haben, die sie benötigen.",** Collaboration; Crowdsourcing; Team science,NA,NA,NA
Systematic Review (systematisches Review) *,"** A form of literature review and evidence synthesis. A systematic review will usually include a thorough, repeatable (reproducible) search strategy including key terms and databases in order to find relevant literature on a given topic or research question. Systematic reviewers follow a process of screening the papers found through their search, until they have filtered down to a set of papers that fit their predefined inclusion criteria. These papers can then be synthesised in a written review which may optionally include statistical synthesis in the form of a meta-analysis as well. A systematic review should follow a standard set of guidelines to ensure that bias is kept to a minimum for example PRISMA (Moher et al., 2009; Page et al., 2021), Cochrane Systematic Reviews (Higgins et al., 2019), or NIRO-SR (Topor et al., 2021).",** Higgins et al. (2019); Moher et al. (2009); Page et al. (2021); Topor et al. (2021),** Jade Pickering,** Mahmoud Elsherif; Adam Parker; Charlotte R. Pennington; Timo Roettger; Marta Topor; Emily A. Williams; Flávio Azevedo,Helena Hartmann,Susanne Vogel; Joris Frese  ### ---  ###  ###  ### **T** {#t},"Eine Form der Literaturübersicht und Evidenzsynthese. Ein systematisches Review umfasst in der Regel eine gründliche, wiederholbare (reproduzierbare) Suchstrategie mit Suchbegriffen und Datenbanken, um relevante Literatur zu einem bestimmten Thema oder einer Forschungsfrage zu finden. Systematische Reviewer:innen führen ein Screening der durch ihre Suche gefundenen Arbeiten durch, bis sie eine Reihe von Arbeiten herausgefiltert haben, die ihren vordefinierten Einschlusskriterien entsprechen. Diese Arbeiten können dann in einer schriftlichen Übersichtsarbeit zusammengefasst werden, die optional auch eine statistische Synthese in Form einer Meta-Analyse enthalten kann. Ein systematisches Review sollte einem standardisierten Satz von Leitlinien folgen, um sicherzustellen, dass Verzerrungen auf ein Minimum reduziert werden, z. B. PRISMA (Moher et al., 2009; Page et al., 2021), Cochrane Systematic Reviews (Higgins et al., 2019\) oder NIRO-SR (Topor et al., 2021).","** Meta-analysis; CONSORT; Non-Intervention, Reproducible, and Open Systematic Reviews (NIRO-SR); PRISMA",NA,NA,NA
Tenzing *,"** *Tenzing* is an online webapp and R package that helps researchers to track and report the contributions of each team member using the CRediT taxonomy in an efficient way. Team members of a research project can indicate their contributions to each CRediT role using an online spreadsheet template, and provide any additional authors' information (e.g., name, affiliation, order in publication, email address, and ORCID iD). Upon writing the manuscript, *tenzing* can automatically create a list of contributors belonging to each CRediT role to be included in the contributions section and create the manuscript’s title page.",NA,NA,** Balazs Aczel; Mahmoud Elsherif; Helena Hartmann; Charlotte R. Pennington; Graham Reid; Flávio Azevedo,Bettina M. J. Kern,"Helena Hartmann, Susanne Vogel; Joris Frese","Tenzing* ist eine Online-Webapp und ein R-Paket, das Forschenden hilft, die Beiträge jedes Teammitglieds unter Verwendung der CRediT-Taxonomie auf effiziente Weise zu verfolgen und zu melden. Die Teammitglieder eines Forschungsprojekts können ihre Beiträge zu jeder CRediT-Rolle mithilfe einer Online-Tabelle angeben und zusätzliche Autor:innenangaben machen (z. B. Name, Institution, Reihenfolge in der Veröffentlichung, E-Mail-Adresse und ORCID iD). Somit kann man mit Tenzing automatisiert eine Liste der Mitwirkenden am Manuskript erstellen, die zu einer CRediT-Rolle beigetragen haben und in die Contributions aufgenommen werden müssen, und auch die Titelseite des Manuskripts erstellen.",** Authorship; Consortium authorship; Contributions; CRediT,** Holcombe et al. (2020),** Marton Kovacs,NA
Theory (Theorie) *,"** A theory is a unifying explanation or description of a process or phenomenon, which is amenable to repeated testing and verifiable through scientific investigation, using various experiments led by several independent researchers. Theories may be rejected or deemed an unsatisfactory explanation of a phenomenon after rigorous testing of a new hypothesis that explains the phenomena better or seems to contradict them but is more generalisable to a wider array of findings.",NA,NA,** Mahmoud Elsherif; Helena Hartmann; Charlotte R. Pennington; Graham Reid,Helena Hartmann,Susanne Vogel; Joris Frese,"Eine Theorie ist eine vereinheitlichende Erklärung oder Beschreibung eines Prozesses oder Phänomens, die wiederholt getestet werden kann und durch wissenschaftliche Untersuchungen überprüfbar ist, wobei verschiedene Experimente von mehreren unabhängigen Forschenden durchgeführt werden. Theorien können verworfen oder als unzureichende Erklärung eines Phänomens angesehen werden, nachdem eine neue Hypothese, die die Phänomene besser erklärt oder ihnen zu widersprechen scheint, aber für eine breitere Palette von Erkenntnissen verallgemeinerbar ist, einer strengen Prüfung unterzogen wurde.",** Hypothesis; Model (philosophy); Theory building,** Schafersman (1997); Wacker (1998),** Aoife O’Mahony,NA
Theory building (Theoriebildung) *,** The process of creating and developing a statement of concepts and their interrelationships to show how and/or why a phenomenon occurs. Theory building leads to theory testing.,NA,NA,** Mahmoud Elsherif; Helena Hartmann; Charlotte R. Pennington,Helena Hartmann,Susanne Vogel; Joris Frese,"Der Prozess der Erstellung und Entwicklung einer Erklärung von Konzepten und deren Zusammenhängen, um zu zeigen, wie und/oder warum ein Phänomen auftritt. Die Theoriebildung ermöglicht dann die Überprüfung der Theorie.",** Hypothesis; Model (philosophy); Theory; Theoretical contribution; Theoretical model,** Borsboom et al. (2020); Corley and Gioia (2011); Gioia and Pitrie (1990); Wacker (1998),** Filip Dechterenko,NA
The Troubling Trio (Die dreisten Drei) *,"** Described as a combination of low statistical power, a surprising result, and a *p*\-value only slightly lower than .05.",NA,NA,**; Catia M. Oliveira; Adam Parker; Sam Parsons;Charlotte R. Pennington,Helena Hartmann,Susanne Vogel; Joris Frese,"Beschrieben als eine Kombination aus geringer statistischer Teststärke (Power), einem überraschenden Ergebnis und einem *p*\-Wert, der nur geringfügig niedriger als .05 ist.",** Replication; Reproducibility; Null Hypothesis Significance Testing (NHST); *P*\-hacking; Questionable Research Practices or Questionable Reporting Practices (QRPs),** Lindsay (2015),** Halil Emre Kocalar,NA
Transparency (Transparenz) *,"** Having one’s actions open and accessible for external evaluation. Transparency pertains to researchers being honest about theoretical, methodological, and analytical decisions made throughout the research cycle. Transparency can be usefully differentiated into “scientifically relevant transparency” and “socially relevant transparency”. While the former has been the focus of early Open Science discourses, the latter is needed to provide scientific information in ways that are relevant to decision makers and members of the public (Elliott & Resnik, 2019).",NA,NA,** Tamara Kalandadze; Aoife O’Mahony; Eike Mark Rinke; Flávio Azevedo,Bettina M. J. Kern,"Helena Hartmann, Susanne Vogel; Joris Frese","Transparenz bedeutet, das eigene Handeln offen und zugänglich für eine externe Bewertung zu machen. Transparent zu forschen bedeutet, dass Forschende sämtliche theoretischen, methodischen und analytischen Entscheidungen nachvollziehbar offenlegen, die sie im Laufe des Forschungsprozesses getroffen haben. Transparenz kann in ""wissenschaftlich relevante Transparenz"" und ""gesellschaftlich relevante Transparenz"" unterschieden werden. Während erstere im Mittelpunkt der frühen Open-Science Diskurse stand, ist letztere erforderlich, um wissenschaftliche Informationen in einer Weise bereitzustellen, die für Entscheidungsträger und die Öffentlichkeit relevant ist",** Credibility of scientific claims; Open science; Preregistration; Reproducibility; Trustworthiness,** Elliott and Resnik (2019); Lyon (2016); [Syed (2019)](https://psyarxiv.com/cteyb/),** William Ngiam,NA
Transparency Checklist (Transparenz-Checkliste) *,"** The transparency checklist is a consensus-based, comprehensive checklist that contains 36 items that cover the prepregistration, methods, results and discussion and data, code and materials availability. A shortened 12-item version of the checklist is also available. Checklist responses can be submitted alongside a manuscript for review. While the checklist can also work for educational purposes, it mainly aims to support researchers to identify concrete actions that can increase the transparency of their research while a disclosed checklist can help the readers and reviewers gain critical information about different aspects of transparency of the submitted research.",NA,NA,** Sarah Ashcroft-Jones; Mahmoud Elsherif; Helena Hartmann; Graham Reid; Flávio Azevedo,Helena Hartmann,Susanne Vogel; Joris Frese,"Die Transparenz-Checkliste ist eine konsensbasierte, umfassende Checkliste mit 36 Punkten, die die Präregistrierung, Methoden, Ergebnisse und Diskussion sowie die Verfügbarkeit von Daten, Analysecode und Materialien abdeckt. Eine verkürzte Version der Checkliste mit 12 Punkten ist ebenfalls verfügbar. Die Antworten auf die Checkliste können zusammen mit einem Manuskript zur Begutachtung eingereicht werden. Die Checkliste kann zwar auch zu Bildungszwecken eingesetzt werden, zielt aber vor allem darauf ab, Forschende bei der Ermittlung konkreter Maßnahmen zur Erhöhung der Transparenz ihrer Forschung zu unterstützen, während eine offengelegte Checkliste den Lesenden und Gutachter:innen helfen kann, kritische Informationen über verschiedene Aspekte der Transparenz der eingereichten Forschungsarbeiten zu gewinnen.",** Credibility of scientific claims; Open science; Preregistration; Reproducibility; Trustworthiness,** Aczel et. al. (2021),** Barnabas Szaszi,NA
Triple-blind peer review (Dreifach-blindes Peer Review) *,"** Evaluation of research products by qualified experts where the author(s) are anonymous to both the reviewer(s) and editor(s). **“**Blinding of the authors and their affiliations to both editors and reviewers. This approach aims to eliminate institutional, personal, and gender biases” (Tvina et al., 2019, p. 1082).",NA,NA,** Bradley Baker; Helena Hartmann; Charlotte R. Pennington; Christopher Graham,Bettina M.J. Kern,"Helena Hartmann, Susanne Vogel; Joris Frese","Bewertung von Forschungsergebnissen durch qualifizierte Expert:innen im Begutachtungsprozess (Peer-Review), wobei die verfassenden Personen sowohl für die Begutachtenden als auch für den/die Herausgebenden (Editor:innen) anonym bleiben. Die Verblindung der verfassenden Personen und ihrer institutionellen Zugehörigkeit sowohl gegenüber den Herausgebenden als auch den Gutachtenden zielt darauf ab, zu verhindern, dass institutionelle, persönliche und geschlechtsspezifische Vorurteile bei der Bewertung des Manuskripts eine Rolle spielen (Tvina et al., 2019, S. 1082).",** Double-blind peer review; Open Peer Review; Single-blind peer review,** Largent and Snodgrass (2016); Tvina et al. (2019),** Mahmoud Elsherif,NA
Trim-and-fill method *,"** The trim-and-fill method estimates missing studies as a result of publication bias in the funnel plot and adjusts the overall magnitude of the effect size. The studies with the most extreme effect sizes on the left and on the right side are suppressed. The number of studies excluded is conducted based on a case-by-case basis.  This method is to first trim the studies producing an asymmetrical funnel plot in order to ensure the overall magnitude of the effect size influenced by the remaining studies is not influenced by the remaining studies by publication bias. However, if there is no true overall effect size, it is infeasible to identify the studies to be trimmed at the first step. Following this, the missing studies are imputed in the funnel plot based on the overall estimate that is corrected in terms of bias.",NA,NA,**,Helena Hartmann,Susanne Vogel; Joris Frese,"Die Trim-and-Fill-Methode schätzt fehlende Studien in Folge von Publikationsverzerrungen im Trichterdiagramm (Funnel Plot) und passt die Gesamtgröße der Effektstärke an. Die Studien mit den extremsten Effektgrößen auf der linken und rechten Seite werden unterdrückt. Die Anzahl der ausgeschlossenen Studien wird von Fall zu Fall festgelegt. Bei dieser Methode werden zunächst die Studien herausgefiltert, die einen asymmetrischen Funnel Plot ergeben, um sicherzustellen, dass die Gesamtgröße der Effektstärke, die von den verbleibenden Studien beeinflusst wird, nicht von den verbleibenden Studien durch Publikationsverzerrungen beeinflusst wird. Wenn es jedoch keinen wahren Effekt gibt, ist es nicht möglich, die zu eliminierenden Studien in einem ersten Schritt zu identifizieren. Anschließend werden die fehlenden Studien im Funnel Plot auf der Grundlage der hinsichtlich der Verzerrung korrigierten Gesamtschätzung imputiert.",** meta analysis,**,** Mahmoud Elsherif,NA
TRUST Principles (TRUST Prinzipien) *,"** A set of guiding principles that consider Transparency, Responsibility, User focus, Sustainability, and Technology (TRUST) as the essential components for assessing, developing, and sustaining the trustworthiness of digital data repositories (especially those that store research data). They are complementary to the FAIR Data Principles.",** Lin et al. (2020),** Aleksandra Lazić,** Jamie P. Cockcroft; Mahmoud Elsherif; Helena Hartmann; Sam Parsons,Susanne Vogel,Helena Hartmann; Joris Frese,"Eine Reihe von Leitprinzipien, die Transparenz, Verantwortung, Nutzer:innenorientierung, Nachhaltigkeit und Technologie (Transparency, Responsibility, User focus, Sustainability, and Technology, TRUST) als die wesentlichen Komponenten für die Bewertung, Entwicklung und Aufrechterhaltung der Vertrauenswürdigkeit digitaler Datenrepositorien (insbesondere solcher, die Forschungsdaten speichern) betrachten. Sie ergänzen die FAIR Daten Prinzipien.",** FAIR principles; Metadata; Open Access; Open Data; Open Material; Repository,NA,NA,NA
Type I error (Typ-I-Fehler) *,"** “Incorrect rejection of a null hypothesis” (Simmons et al., 2011, p. 1359), i.e. finding evidence to reject the null hypothesis that there is no effect when the evidence is actually in favouring of retaining the null that there is no effect (For example, a judge imprisoning an innocent person). Concluding that there is a significant effect and rejecting the null hypothesis when your findings actually occured by chance.","** Simmons et al., (2011)",** Lisa Spitzer,** Mahmoud Elsherif; Adrien Fillon; Helena Hartmann; Matt Jaquiery; Mariella Paul; Charlotte R. Pennington; Graham Reid; Olly Robertson; Mirela Zaneva,Bettina M.J. Kern,"Helena Hartmann, Susanne Vogel; Joris Frese","Incorrect rejection of a null hypothesis” (dt. fälschliches Verwerfen einer Nullhypothese; Simmons et al., 2011, S. 1359), d.h. das Auffinden von Beweisen, um die Nullhypothese, dass es keinen Effekt gibt, zu verwerfen, wenn die Beweise tatsächlich für die Beibehaltung der Nullhypothese sprechen, dass es keinen Effekt gibt (z. B. ein Richter, der eine unschuldige Person inhaftiert). Die Schlussfolgerung, dass ein signifikanter Effekt vorliegt, und die Zurückweisung der Nullhypothese, wenn die Ergebnisse tatsächlich zufällig entstanden sind.",** Frequentist statistics; Null Hypothesis Significance Testing (NHST); Null Result; *P* value; Questionable Research Practices or Questionable Reporting Practices (QRPs); Reproducibility crisis (aka Replicability or replication crisis); Scientific integrity; Statistical power; True positive result; Type II error,NA,NA,NA
Type II error (Typ-II-Fehler) *,"** A false negative result occurs when the alternative hypothesis is true in the population but the null hypothesis is accepted as part of the analysis (Hartgerink et al., 2017). That is, finding a non-significant statistical result when the effect is true (For example, a judge passing an innocent verdict on a guilty person). False negatives are less likely to be the subject of replications than positive results (Fiedler et al., 2012), and remain an unresolved issue in scientific research (Hartgerink et al., 2017).",NA,** Olly Robertson,** Mahmoud Elsherif; Charlotte R. Pennington,Bettina M.J. Kern,"Helena Hartmann, Susanne Vogel; Joris Frese","Ein Fehler 2\. Art liegt vor, wenn die Alternativhypothese in der Population wahr ist, fälschlicherweise aber die Nullhypothese angenommen wird (Hartgerink et al., 2017). Es wird also ein nicht-signifikantes statistisches Ergebnis gefunden, obwohl es einen wahren Effekt gibt (z. B. ein Arzt, der eine vorliegende Schwangerschaft nicht erkennt). Falsch-negative Ergebnisse sind weniger wahrscheinlich Gegenstand von Replikationen als positive Ergebnisse (Fiedler et al., 2012\) und bleiben ein ungelöstes Problem in der wissenschaftlichen Forschung (Hartgerink et al., 2017).",** Effect size; Null Hypothesis Significance Testing (NHST); Questionable Research Practices or Questionable Reporting Practices (QRPs); Reproducibility crisis (aka Replicability or replication crisis); Scientific integrity; Statistical power; True positive result; Type I error,** Fiedler et al. (2012); Hartgerink et al. (2017),NA,NA
Type M error (Typ-M-Fehler) *,"** A Type M error occurs when a researcher concludes that an effect was observed with magnitude lower or higher than the real one. For example, a type M error occurs when a researcher claims that an effect of small magnitude was observed when it is large in truth or vice versa.",NA,** Eduardo Garcia-Garzon,** Mahmoud Elsherif; Helena Hartmann; Graham Reid; Mirela Zaneva,Helena Hartmann,Susanne Vogel; Joris Frese  ### ---,"Ein Typ-M-Fehler tritt auf, wenn ein/e Forscher:in zu dem Schluss kommt, dass ein Effekt beobachtet wurde, dessen Ausmaß geringer oder größer ist als der wahre Effekt. Ein Typ-M-Fehler tritt beispielsweise auf, wenn ein/e Forscher:in behauptet, dass ein Effekt von geringer Größe beobachtet wurde, obwohl er in Wahrheit groß ist, oder umgekehrt.",** Statistical power; Type S error; Type I error; Type II error,** Gelman and Carlin (2014); Lu et al.(2018),NA,NA
Type S error (Typ S Fehler) *,"** A Type S error occurs when a researcher concludes that an effect was observed with an opposite sign than real one. For example, a type S error occurs when a researcher claims that a positive effect was observed when it is negative in reality or vice versa.",NA,** Eduardo Garcia-Garzon,** Helena Hartmann; Sam Parsons; Graham Reid; Mirela Zaneva,Susanne Vogel,Helena Hartmann; Joris Frese   ### **U** {#u},"Ein Fehler vom Typ S tritt auf, wenn ein:e Forschende:r zu dem Schluss kommt, dass ein Effekt mit einem anderen Vorzeichen als dem tatsächlichen beobachtet wurde. Ein Fehler vom Typ S tritt beispielsweise auf, wenn ein:e Forschende:r behauptet, dass ein positiver Effekt beobachtet wurde, obwohl er in Wirklichkeit negativ ist, oder umgekehrt.",** Statistical power; Type M error; Type I error; Type II error,** Gelman and Carlin (2014); Lu et al. (2018),NA,NA
Under-representation (Unterrepräsentation) *,"** Not all voices, perspectives, and members of the community are adequately represented. Under-representation typically occurs when the voices or perspectives of one group dominate, resulting in the marginalization of another. This often affects groups who are a minority in relation to certain personal characteristics.",NA,NA,"** Mahmoud Elsherif; Helena Hartmann; Bethan Iley; Adam Parker; Charlotte R. Pennington, Mirela Zaneva",Susanne Vogel,Helena Hartmann; Joris Frese,"Nicht alle Stimmen, Perspektiven und Mitglieder der Gemeinschaft sind angemessen vertreten. Unterrepräsentation tritt typischerweise dann auf, wenn die Stimmen oder Perspektiven einer Gruppe dominieren, was zur Marginalisierung einer anderen führt. Dies betrifft häufig Gruppen, die in Bezug auf bestimmte persönliche Merkmale in der Minderheit sind.",** Equity; Fairness; Inequality; WEIRD,NA,** Madeleine Pownall,NA
Universal design for learning (UDL) *,"** A framework for improving learning and optimising teaching based upon scientific insights of how humans learn. It aims to make learning inclusive and transformative for all people in which the focus is on catering to the differing needs of different students. It is often regarded as an evidence-based and scientifically valid framework to guide educational practice, consisting of three key principles: engagement, representation, and action and expression. In addition, UDL is included in the Higher Education Opportunity Act of 2008 (Edyburn, 2010).",NA,NA,** Valeria Agostini; Mahmoud Elsherif; Graham Reid; Mirela Zaneva; Flávio Azevedo,Helena Hartmann,Susanne Vogel; Joris Frese  ### ---  ### **V** {#v},"Ein Konzept zur Verbesserung des Lernens und zur Optimierung des Unterrichtens, das auf wissenschaftlichen Erkenntnissen darüber beruht, wie Menschen lernen. Es wird häufig als evidenzbasierter und wissenschaftlich fundierter Rahmen für die pädagogische Praxis angesehen, der aus drei Schlüsselprinzipien besteht: Engagement, Repräsentation sowie Aktion und Ausdruck. Darüber hinaus ist UDL in den Higher Education Opportunity Act von 2008 aufgenommen worden (Edyburn, 2010).",** Equal opportunities; Inclusivity; Pedagogy; Teaching practice,** Hitchcock et al. (2002); Rose (2000); Rose and Meyer (2002),** Charlotte R. Pennington,NA
